room,noise,Speaker,mic_id,mic_type,location,spk_angle,Gender,DataSet,Centroid,variance,skewness,kurtosis,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,roll_off_max,roll_off_min
2,babb,8118,7,stu,beh,90,F,train-clean-360,1764.023029,1543.832508,1857.280557,2160.928163,-269.6500665,132.0034642,-46.37500676,41.28063665,-28.99956495,3.624604402,-11.43728709,-11.01953188,-3.513967771,-3.636494567,-8.300368857,-10.12973905,2985.028104,249.1420832
1,babb,8118,3,stu,mid,90,F,train-clean-360,2239.912401,1589.781643,1893.865147,2183.359208,-236.5131717,115.2671176,-69.46035567,57.01587308,-38.41900452,1.292641952,-22.4465062,2.250118482,-13.1902426,-5.453579402,-5.854391695,-5.240293847,3487.702234,472.5124594
1,musi,1961,3,stu,mid,90,F,train-clean-360,1796.487233,1730.607464,2124.075871,2481.950004,-310.1027696,120.7392777,-32.95784298,40.83800331,-28.43196032,15.44301306,-5.780315889,16.08809715,-4.914630693,8.379093579,2.111259736,-2.484394777,2964.873964,213.800509
2,none,1112,1,stu,clo,90,M,train-clean-360,1661.161865,1533.562798,1929.15198,2295.794537,-378.0816976,120.9077223,-28.23713765,27.75384436,-13.13581382,13.32204982,-16.32770745,-13.75470537,-16.68988503,-13.55073411,-0.195043131,-6.60802872,2618.047406,307.4566916
2,musi,1867,7,stu,beh,90,M,train-clean-100,1784.949455,1591.77837,1950.353374,2289.137457,-311.6701798,122.6595916,-38.60337233,38.93093765,-20.37985661,11.49121592,0.423302142,11.87441634,-4.437556317,10.4344595,7.496505933,-8.018239987,2926.355999,234.2642252
1,babb,4116,3,stu,mid,90,F,train-clean-360,1951.063033,1588.32918,1900.823603,2208.368867,-253.4956331,122.4092932,-50.04133877,35.28977957,-34.73663099,-7.278139026,-17.53572875,-6.244659763,-10.1344085,-3.774025466,-3.7753897,-10.79171284,3238.071635,370.1992173
2,tele,5401,5,stu,far,90,M,train-clean-360,1760.683989,1486.809446,1815.660593,2135.448268,-278.7148912,131.8014898,-36.6200321,47.84749495,-22.68677711,-2.181108631,-11.93082941,-12.56521513,-8.057363762,0.869381812,-2.647221529,-5.938548992,2850.789825,303.7463007
2,none,8152,1,stu,clo,90,M,train-clean-360,1953.436539,1498.614892,1839.421874,2165.610391,-305.9689854,121.1537894,-42.72304851,35.19848639,-11.67167911,12.34743447,-18.57603268,-16.2453682,-7.92351111,-4.108785911,-8.183073598,-7.776887813,2969.244744,361.4652746
2,none,1536,3,stu,mid,90,M,train-clean-360,1056.453778,1181.191668,1626.761745,2065.972211,-349.4116975,173.3650552,-9.527474252,8.919242279,-4.796216998,4.548152137,-3.601200002,-13.441384,-7.434948536,0.179804828,-1.874395845,-3.464348599,1664.355258,160.8164147
2,babb,4590,7,stu,beh,90,M,train-clean-360,1159.711802,1186.405345,1578.335832,1972.598555,-269.5591449,177.477869,-35.78026511,24.15441677,-8.888488927,3.997379196,-6.133792409,-11.36488851,-7.055728332,-4.842297839,-2.740687981,-4.78487999,1854.657735,185.5067423
1,musi,3835,1,stu,clo,90,M,train-clean-360,2041.159034,1635.627843,1933.459242,2220.82726,-222.4892356,113.5101366,-54.3057666,57.68530432,-14.2288864,8.029407444,-18.24388118,2.52527499,-8.356295015,-5.048674315,0.235678468,-12.49759047,3383.396601,252.4752186
1,none,2149,1,stu,clo,90,M,train-clean-360,2031.26509,1578.546236,1967.891951,2318.241308,-301.3251612,119.5386577,-55.1879219,35.36599335,-7.254922464,25.58997067,-47.44139584,-1.535920262,-5.089099755,-8.725037929,-14.20699854,-9.383380905,3042.550837,408.0354203
1,tele,636,5,stu,far,90,F,train-clean-360,1291.945199,1245.707334,1640.017879,2030.123183,-279.7943659,160.3664896,-45.73970935,13.94043626,-20.36444878,-10.85875224,-14.93765796,-15.50313329,-9.05108553,-1.834497052,-9.193734471,-6.156425724,2005.913309,316.9436975
1,tele,7540,7,stu,beh,90,M,train-clean-360,1588.222777,1492.760602,1872.058605,2235.755529,-350.3010467,134.0659796,-25.7534091,42.63872032,-9.914137058,-4.637539074,-9.589076466,5.521607986,-6.357887616,-5.081784684,3.899965945,-0.431395221,2545.414248,212.3650984
1,musi,1963,7,stu,beh,90,F,train-clean-100,2100.24323,1657.969886,1970.603087,2268.749212,-292.7865718,119.2936997,-55.51502092,40.22287954,-37.91405353,3.630812419,-23.80711213,-4.019342019,-8.123840339,0.374960991,-7.629847578,-2.057396812,3460.684378,388.7764812
1,babb,7995,3,stu,mid,90,F,train-clean-360,1571.03686,1542.816713,1987.499639,2399.765991,-303.5474174,133.1833727,-23.35273042,16.21957925,-13.51984106,0.022194736,-11.63608222,4.006777256,-15.38677878,-6.994210049,-12.09738823,-12.43686974,2487.539248,245.5269729
1,babb,1536,5,stu,far,90,M,train-clean-360,1138.480592,1178.707005,1579.653269,1989.285549,-292.8162266,175.32981,-36.3809567,20.54810818,-9.762935741,-4.180716587,-7.72157531,-13.60868997,-15.06318979,-7.135684894,-9.460735972,-9.475071525,1818.611225,220.9986637
2,tele,7278,7,stu,beh,90,M,train-clean-100,1450.143382,1359.937904,1745.547767,2115.581697,-277.2258833,150.9494657,-34.20543427,21.42629151,-27.79690789,6.409028601,-9.802500431,-9.009511944,-2.232364268,-0.436942042,-3.631245031,-18.41886189,2289.174107,214.2020089
2,none,5154,7,stu,beh,90,F,train-clean-360,1825.986595,1493.975233,1845.071141,2179.984941,-370.9044126,106.4403255,-43.90359117,3.815843985,-14.19596276,-3.190085068,-0.453630527,6.574946892,13.81731211,7.925287179,7.582854472,-5.137684914,2876.274202,378.235394
2,musi,150,1,stu,clo,90,F,train-clean-100,2350.433071,1746.871355,2073.127779,2374.026635,-319.1124386,108.4492975,-60.21238155,42.41082446,-38.53300988,17.62801095,-23.01318014,3.789551135,-14.14887372,-2.311982882,-12.89232165,-11.12844884,3755.610288,453.187298
2,tele,4848,7,stu,beh,90,M,train-clean-360,1172.465449,1210.387132,1648.697895,2079.692035,-345.100311,152.5668029,-14.77172538,13.20380503,-2.212257672,1.951087588,-6.743483524,-10.16894864,-7.724546368,3.996228502,2.573318732,-5.087630373,1781.94207,181.9509323
2,tele,7247,7,stu,beh,90,M,train-clean-360,1491.199905,1333.601736,1718.709428,2094.623067,-328.3905683,145.9861716,-31.88143783,6.401758349,-14.2879272,8.1491292,-13.40685073,-14.22421458,-3.470507029,-8.635511719,-4.595006451,-1.838141857,2346.3983,270.2079577
1,none,7247,3,stu,mid,90,M,train-clean-360,1545.796844,1313.775614,1728.469353,2127.821155,-291.1748148,148.5827406,-31.93489581,3.690704973,-19.36225407,1.209781693,-12.65232411,-3.22734652,-8.757678981,-1.384309894,2.152966067,3.78749469,2321.157983,324.5599623
2,babb,7981,3,stu,mid,90,M,train-clean-360,1232.510247,1292.869772,1680.32661,2074.362683,-305.6697243,161.9145304,-32.72114905,28.08658146,-5.585478898,0.61511452,3.405912381,-6.965403322,-12.77792308,-5.846507858,-12.08543222,-9.340536594,2046.719308,178.1731112
2,none,7498,1,stu,clo,90,F,train-clean-360,2389.688744,1592.842085,1901.594297,2181.609248,-300.4285611,83.38010045,-76.7087602,24.49511281,-38.94414075,3.039076066,-27.47701734,-3.746889123,3.436124614,5.483898864,0.484950718,-5.661848865,3577.894578,650.7776358
1,tele,5386,1,stu,clo,90,M,train-clean-360,2041.650433,1629.949725,1987.938992,2319.133734,-298.8170523,126.3072047,-47.53753615,32.97590461,-26.69001156,13.74992827,-26.12782691,7.268039869,-6.878928624,-3.53178095,4.121740745,-6.164496257,3211.048186,343.1400599
2,tele,93,1,stu,clo,90,F,train-clean-360,1620.773756,1529.86723,1853.204341,2172.089152,-282.1824649,131.6899029,-40.90901207,40.28065006,-18.78029232,3.700163895,-5.313250136,-12.49696074,-7.336762528,-3.548168528,-11.72761616,-6.5584648,2796.668106,237.5273094
2,tele,242,5,stu,far,90,F,train-clean-360,1598.82816,1412.559143,1761.042513,2110.450377,-291.140438,132.976935,-49.22225737,27.56593341,-3.209968644,-11.24849148,-26.07272534,-18.03001177,-5.892063522,8.696599121,-6.748704455,-2.795242764,2586.811635,351.8130889
2,tele,1066,1,stu,clo,90,F,train-clean-360,1307.700917,1303.807813,1713.901982,2113.499674,-343.9271684,153.1511775,-20.25076584,26.20095544,-9.987310993,-0.817477099,-20.6373281,-13.55836351,6.460684613,-1.787366354,-12.61681176,0.248199379,2059.246177,212.4151222
2,musi,6965,7,stu,beh,90,M,train-clean-360,1546.684835,1551.096354,1928.576127,2280.724042,-309.9830015,128.1907644,-22.79519985,37.63273733,-18.4655942,15.18401482,-7.710113599,-15.13869488,0.25113449,4.093576241,-1.035950931,-7.533871609,2552.526207,193.6400287
2,tele,296,3,stu,mid,90,M,train-clean-360,1624.264359,1399.096129,1721.921885,2048.417766,-292.1879216,141.7213092,-57.10452247,30.48884087,-10.53902558,2.716436562,-6.277379517,-15.18537309,-7.215454421,-0.592448137,-8.640202244,-8.769795577,2670.659505,285.3707682
2,tele,4438,7,stu,beh,90,M,train-clean-360,1220.382648,1176.474428,1568.87249,1968.836881,-303.5307402,166.7468556,-37.89449503,11.77326559,-8.769226908,-6.302814179,1.053076589,-5.756515645,-9.232102659,1.347289227,-7.942796331,-8.232074952,1844.105308,217.8258211
1,babb,209,7,stu,beh,90,F,train-clean-360,2000.044431,1490.178216,1788.513962,2081.649514,-310.2746114,126.6509518,-65.51388691,40.01434135,-35.586664,-0.424842306,-16.69270756,-10.38355029,-10.05159186,-3.594493949,-9.787534897,-7.350025629,3178.618742,426.5872353
2,tele,2294,1,stu,clo,90,M,train-clean-360,1552.511647,1417.530466,1827.009028,2226.714454,-331.1982956,146.0259465,-39.63280181,21.97223063,-16.27887303,6.839317533,-5.438363978,-4.434600685,-19.67807638,-0.510119064,-14.58800781,-11.72893207,2398.317079,270.3613281
1,tele,949,7,stu,beh,90,M,train-clean-360,2023.19822,1526.744926,1827.096736,2105.297063,-264.8657859,136.1438537,-63.5822399,45.37149022,-38.11922102,21.20539677,-16.15356851,-15.95521734,-3.460688617,-13.61856505,1.45533968,-12.58181639,3207.328874,396.4446312
2,none,5583,7,stu,beh,90,F,train-clean-360,2321.346903,1561.182222,1886.065333,2186.277219,-257.3773958,91.53571357,-54.67029735,20.36935973,-38.35431819,7.655842777,-11.39898307,-1.514489418,1.794639803,4.262118712,-4.108250427,-9.748345254,3478.744815,630.7459938
2,musi,492,5,stu,far,90,M,train-clean-360,1820.602646,1594.880767,1879.726129,2160.762366,-294.7322654,125.7434623,-49.47604057,80.30761973,-11.91552936,1.210080572,-4.723710613,8.829216392,4.907901331,1.133182044,-7.225556056,1.471909217,3193.549872,192.0403385
1,babb,5157,5,stu,far,90,M,train-clean-360,1889.789839,1592.415595,1916.402197,2235.844729,-241.7027591,126.8102219,-60.45906896,50.8370583,-23.46045051,4.195071358,-17.48328125,-7.177321249,-16.00832795,-4.172852674,-11.49920132,-15.0136006,3121.125029,289.0917478
2,tele,2294,7,stu,beh,90,M,train-clean-360,1263.076794,1199.331112,1566.689446,1937.630949,-297.4757612,153.5313878,-24.83789803,4.20421547,-9.929252267,-5.114035148,-3.847710465,-15.90178413,-0.167371299,1.855820403,-8.330027645,-1.331299249,1999.111943,213.6971574
2,babb,7498,7,stu,beh,90,F,train-clean-360,1817.670117,1485.889956,1828.704561,2154.523585,-264.8051525,120.136041,-51.99268914,20.27404644,-23.39936949,-2.161968298,-22.26401437,-11.1308002,0.513014134,-0.319179089,-1.719377596,-10.18973478,2832.640827,420.2064722
1,babb,882,3,stu,mid,90,F,train-clean-360,1442.195094,1420.034408,1828.174955,2215.872218,-295.8219034,145.2622259,-24.2514621,23.10317241,-26.90913954,-9.003928762,-9.443009128,-5.820844781,-18.3315896,-7.688648567,-9.180339426,-8.527593225,2306.284074,256.7288341
2,musi,8118,1,stu,clo,90,F,train-clean-360,2341.815752,1701.742765,2019.083697,2311.133853,-307.7279843,102.3789378,-52.48662932,44.42282156,-30.74935725,11.73091837,-17.76573594,5.445781132,-5.177585641,-6.077424192,-10.2809321,-8.662796241,3700.560819,455.1551232
2,tele,4427,7,stu,beh,90,F,train-clean-360,1233.482369,1318.315187,1702.647466,2082.649512,-242.4467454,152.8347707,-27.0260117,27.28590731,-11.24666016,6.796744461,-11.21422165,-12.146331,-1.759113452,-3.972071654,-6.913214924,-12.27046041,2112.410352,160.9833517
1,none,1272,3,stu,mid,90,M,dev-clean,2343.23771,2020.566076,2411.0472,2743.26579,-287.5521671,101.5384215,-2.820665294,31.09454006,-35.60208443,18.09349695,-24.0430652,7.708621471,-19.3284366,-1.796645932,-3.410564993,-2.691269257,3929.602962,391.7068709
1,musi,3989,5,stu,far,90,M,train-clean-360,1235.691964,1165.306359,1521.260805,1876.241254,-275.9890765,163.6276757,-35.37859603,18.05870646,-21.2888765,-15.4852878,-2.599960685,-12.51181412,4.897176524,-8.200201053,-3.664302406,-1.756058113,1976.090351,259.3786567
1,none,209,1,stu,clo,90,F,train-clean-360,2326.875774,1587.747834,1886.58992,2171.243676,-302.6613626,100.4766076,-61.57936258,46.07188874,-28.74687022,7.084263647,-17.76881185,-1.293303758,-1.650533758,5.524135449,-9.745147969,-5.715166039,3553.450735,496.5229235
1,babb,7868,5,stu,far,90,F,train-clean-360,1420.109296,1285.57426,1633.768779,1989.531182,-277.1034012,156.5981715,-59.23315457,27.55445117,-18.19445332,-4.263647794,-19.5477721,-19.49596252,-11.26178047,-8.428006089,-6.379251678,-12.9773826,2319.930447,299.8317076
1,tele,2149,3,stu,mid,90,M,train-clean-360,1947.012866,1553.884058,1933.768925,2289.899204,-295.8065753,122.9408587,-49.96627825,30.45467767,-13.69603411,9.175398967,-25.11632023,2.217030625,-12.88627575,-9.607524475,-9.127690384,0.400796062,3012.647315,359.4973899
2,babb,5583,1,stu,clo,90,F,train-clean-360,2184.940818,1553.243435,1875.437854,2181.157896,-254.6910036,109.3228864,-56.19383312,32.57142146,-31.84754514,7.493703221,-13.08118093,-6.023546661,-8.477499168,-1.502440068,-13.35249098,-10.39770971,3347.016841,498.6301741
2,tele,2911,5,stu,far,90,M,train-clean-100,1377.290977,1430.667713,1870.2309,2291.747336,-310.4648677,143.070368,-23.77458654,24.12516979,-2.915358126,6.823266318,-10.10081516,-0.298102107,-5.472326672,-2.064632804,-8.689702709,-3.593782571,2203.724572,169.1515925
2,musi,6848,1,stu,clo,90,M,train-clean-100,1706.291054,1589.317277,2004.78777,2386.199998,-314.1138817,126.9519946,-14.0455174,29.56496663,-16.66609104,11.86871921,-25.0904174,-12.19601376,-0.882298746,-8.471421502,-14.42583076,2.641970899,2749.644257,288.8000402
2,tele,254,1,stu,clo,90,M,train-clean-100,1770.053931,1626.033757,1962.497313,2288.47697,-300.6769641,116.6499761,-33.45031269,41.52426833,-12.93406734,11.77755495,-3.943616122,-12.25794157,-15.69465935,-2.318469938,-15.15569903,-15.65096917,3065.613556,231.2416077
1,none,1472,3,stu,mid,90,F,train-clean-360,2471.11314,1697.840104,2000.975903,2281.268202,-264.3805459,91.68301094,-49.36887443,46.65215194,-34.9096928,-1.081806648,-16.12610705,12.63203804,-7.040058663,2.70467619,1.715735645,-5.936099669,3813.51467,532.4318529
1,babb,7867,3,stu,mid,90,M,train-clean-360,1872.657247,1576.96707,1931.759325,2273.484157,-286.5715404,118.8091017,-28.0296138,40.2509331,-18.700272,-1.035136903,-11.30901088,-1.200039834,-12.83657374,-7.829649038,-2.301767918,-2.125670438,3055.608655,313.4244614
2,musi,8635,5,stu,far,90,M,train-clean-360,1748.898495,1651.981269,1945.777425,2237.553412,-231.7202168,128.5004696,-42.31910493,78.18779511,-22.20578034,3.646734222,-16.91013252,0.563583883,0.548599755,0.80152164,-0.202558875,-4.914406388,3182.530632,172.6335772
2,babb,3972,3,stu,mid,90,F,train-clean-360,1239.781614,1246.390377,1634.20549,2022.286086,-318.5814548,155.2764602,-28.98953168,34.52977935,-11.7114952,-20.32230692,-28.42553118,-12.68418035,0.225375456,-6.806873209,-4.402567044,-7.866756565,2047.928931,274.5786683
1,babb,2149,7,stu,beh,90,M,train-clean-360,1731.02867,1470.208405,1852.185972,2214.421307,-309.3969857,129.7953517,-45.38789878,19.93036653,-10.65501285,9.826257072,-33.10136343,-14.11274247,-9.065533968,-14.48789917,-12.11682765,-6.735473307,2699.913131,347.0038126
1,babb,8152,5,stu,far,90,M,train-clean-360,1541.066746,1434.920008,1774.787718,2116.047911,-257.579378,148.9832687,-47.67438387,40.6295262,-15.20359819,3.783588202,-24.45391742,-18.39485328,-19.29029702,-12.98027438,-12.8475645,-16.0007149,2595.043631,272.3380289
1,musi,6099,3,stu,mid,90,F,train-clean-360,1685.340981,1549.216657,1909.277301,2262.927322,-279.6440002,124.5834656,-35.05257681,38.50244214,-23.66089317,-3.896566967,-19.14139903,-2.366059316,-16.89757117,4.996947488,2.00538027,-8.127525614,2835.048821,270.1781884
2,babb,5154,1,stu,clo,90,F,train-clean-360,1593.650149,1402.811862,1765.670052,2125.270051,-361.9535223,137.7897086,-45.46474163,25.98533703,-11.04272399,-3.030524699,-4.143847542,-2.54830187,-2.577701482,-3.530161087,-3.102553556,-9.962713588,2571.064453,272.160963
2,tele,2532,5,stu,far,90,F,train-clean-360,2336.153923,1705.46787,2001.503144,2277.048133,-315.718921,95.11898705,-55.74496037,43.8048604,-36.35154479,4.415639842,-14.11694453,3.259457705,-2.675126685,4.165362145,-2.878867384,-5.74351344,3768.071289,486.9853516
1,tele,1160,7,stu,beh,90,M,train-clean-360,1802.406388,1526.218426,1880.986572,2224.837414,-330.7587388,145.0056617,-57.43733379,40.06078187,-32.73273162,5.232578131,-13.14460519,-1.828690965,-9.962098094,6.185985994,-4.928368305,3.671966984,2920.517141,304.7835263
2,babb,3446,3,stu,mid,90,F,train-clean-360,1548.495612,1489.442773,1846.43699,2197.109341,-234.2300054,140.5086305,-43.15935098,35.19617906,-27.76070533,-6.812019337,-19.17735501,-12.23425183,-11.10726965,-8.027679809,-9.535942836,-7.524092807,2623.413633,276.2140248
2,tele,5126,1,stu,clo,90,M,train-clean-360,1499.052963,1403.010674,1811.083294,2204.195792,-312.4969815,153.0610289,-37.95936058,45.97932056,-18.51225386,5.668563909,-11.38402894,1.46105533,-11.59253435,7.763114608,-10.14600328,-14.52069114,2320.694869,222.1920285
2,tele,5400,1,stu,clo,90,F,train-clean-360,1200.563872,1254.316287,1679.930691,2102.903127,-377.596158,151.4884956,-15.30609943,13.3512548,4.249520511,-5.681201166,-15.21677976,-3.287182852,-5.453297855,-9.582476992,-4.319196325,-9.126321645,1911.284759,191.3164875
1,musi,3994,5,stu,far,90,F,train-clean-360,1909.36369,1517.930523,1856.922807,2179.588249,-256.7816054,116.4771563,-46.50174457,31.22605217,-32.15203392,-5.508146279,-27.0068865,-7.788979311,-5.489966539,-16.6098525,-9.439740479,-15.65891055,3004.236779,417.9304857
2,none,8222,5,stu,far,90,M,train-clean-360,1893.68025,1542.41475,1849.758827,2148.682945,-333.6178085,116.207077,-42.29793602,44.90258662,-0.572397904,2.65640249,-5.586657297,-13.06293581,-6.119966242,0.421345678,-16.40702715,-0.131319805,3116.410689,277.7099609
1,musi,4160,1,stu,clo,90,F,train-clean-100,1804.863392,1550.563369,1872.166512,2184.280108,-291.5572978,121.5893061,-37.15016548,43.52427536,-23.6870304,-4.086064915,-19.57957783,-0.522701104,4.349328001,-1.379205828,2.747929994,1.158317974,3006.979773,282.1831469
2,babb,208,3,stu,mid,90,F,train-clean-360,1304.795707,1407.095315,1794.887138,2170.805768,-318.0619769,144.4150329,-27.28863122,28.42669586,-14.34909326,-0.124944091,-6.025972962,-16.93567072,-3.676378463,-3.871460187,-11.5393366,-8.119186103,2234.952333,217.4853516
2,tele,3368,1,stu,clo,90,M,train-clean-360,1549.926258,1363.112521,1691.08743,2027.786203,-372.741472,153.1338067,-55.40362106,40.15836783,-5.190466818,-1.31892884,-12.78709801,-14.33107432,-15.45806341,0.978290287,-7.762450309,-10.17199039,2529.338504,280.851863
1,tele,510,7,stu,beh,90,M,train-clean-360,1841.589463,1568.763878,1952.338203,2300.425771,-331.811374,131.1014246,-47.76707271,20.85122928,-31.07595149,18.39357012,-21.49409169,-1.249377666,-1.024923905,-7.829896691,0.96568415,-1.40197389,2840.361066,367.0271895
1,babb,296,7,stu,beh,90,M,train-clean-360,1449.859751,1454.469247,1825.683446,2188.564723,-356.06623,147.5506946,-26.72363147,49.23277742,-16.60030091,-0.822043995,-17.80702204,-8.058515501,-10.92589732,-6.812797646,-1.006119376,-8.768764083,2457.028847,190.3553854
1,none,5456,7,stu,beh,90,M,train-clean-100,1253.754838,1343.728778,1781.597155,2186.014898,-319.2586081,164.2609018,-14.67349977,20.77486269,-30.40703997,7.819098419,-8.262076735,-11.89101298,-1.982228229,-7.145512715,-4.047601084,2.323525852,1959.036294,201.4001412
2,tele,2074,3,stu,mid,90,M,train-clean-360,1106.033177,1202.763458,1614.687073,2015.420722,-337.0989288,162.260747,-17.93947777,22.46567843,-10.12466424,1.725668204,-3.714501561,-16.47871989,-0.394209794,-9.602902991,-11.89073356,-5.028238717,1769.850862,184.8014574
1,musi,6895,1,stu,clo,90,F,train-clean-360,2101.624273,1678.211199,2026.654309,2357.029569,-304.5733233,105.6425818,-35.95734657,26.09231513,-21.46225022,1.852285048,-13.80648288,8.57374698,-6.322528703,1.781550913,-5.407361834,-7.966555931,3391.541727,354.3487725
2,babb,5126,3,stu,mid,90,M,train-clean-360,1336.291526,1323.367916,1690.765483,2060.803487,-284.2459271,160.2080389,-34.56064763,40.24017741,-15.5377815,-4.081928009,-0.225360471,-7.115681445,-11.89889781,0.312070989,-12.68245788,-6.920623648,2223.869081,186.8708871
2,musi,7540,7,stu,beh,90,M,train-clean-360,1564.739031,1395.810143,1771.364355,2139.86139,-353.8597999,134.8292353,-30.10309292,38.13115252,-4.972713625,-3.540203848,-4.407728314,1.596345776,-0.663243394,5.773662885,-1.973394715,-6.228944682,2442.724646,233.8461132
